url,question,answer,manual quote 1,manual quote 2,manual quote 3
https://boardgamegeek.com/thread/2440267/first-couple-playthroughs-gathered-questions,What is the die for?,It’s for the solo game.,solo rules,"To play Rugwort's card, roll the 8-sided die",
https://boardgamegeek.com/thread/2017107/new-question-about-dungeon-card,"Let's say I have 15 cards in my city, and I have the Dungeon and someone already in the one cell. Can I play the Ranger to unlock the second cell, putting a different Critter already in my city into the now-unlocked second cell?","You could not play the Ranger as it would get you past the city's limit. However if you have Dungeon with one prisoner and Ranger in your city and you are at 15 played slots, you could use the Ranger's power to get an existing Critter into the 2nd cell.","""Your city has a maximum of 15 spaces 
to play cards into. Each card takes up one 
space. Recommended layout is 3 rows with 
5 cards in each. Event cards do not count 
against this 15 card limit.""",,
https://boardgamegeek.com/thread/2017107/new-question-about-dungeon-card,"Can I play a NEW card when all 15 seats in the city are occupied, but there is a free cell in the Dungeon?","Yes, this could be done. ","""Your city has a maximum of 15 spaces 
to play cards into. Each card takes up one 
space. Recommended layout is 3 rows with 
5 cards in each. Event cards do not count 
against this 15 card limit.""",,
https://boardgamegeek.com/thread/2027234/workers-and-going-into-next-season-question,"This isn't really clear in the rule book. Can you still build Constructions and add Critters when you are out of workers, or do you have to go into Season Preparation phase. The rule book is vague in that it says you MAY only go into season once you're out of workers, but doesn't say MUST. I read that as I can basically keep taking build actions as long as I have the resources to do so. Am I wrong?","That is correct. You may do the Prepare for Season action after you've sent out all of your workers, or you may continue to play a card on your turns.","""The Prepare for Season action may only
be performed after you have placed all
of your current worker population.""",,
https://boardgamegeek.com/thread/2390976/ancient-scrolls-discovered-question,"After I reveal the 5 cards, my choice is to either DRAW or PLACE, but not both correct?",You can keep them all or split between drawing and placing or just placing them all under the event.,,,
https://boardgamegeek.com/thread/2733573/basic-event-autumn,"when you achieve any basic event in autumn, do you get the 3 victory points at the end of the game? Or does the worker just stay there blocking other player(s) to achieve the basic event?","It's both. You can achieve any available event in any season. You take the tile/card so no one else can claim it and you count these points at the end of the game. Every event is only scored once. In Autumn, all workers stay where they have been placed unless a card effect allows otherwise; this includes on the basic and special events. Once you claim an event (basic or special) it is yours and yours alone. You can move the worker that claimed it (with card effects like the Ranger) but you have still already achieved that event and, once the tile is claimed, no one else but you can ever score for it.","""In autumn only, you may send a worker
on a journey. You must discard cards
equal to the listed points of the Journey
location you choose. The 5-point, 
4-point, and 3-point locations are 
exclusive, and the 2-point location is
shared. The deployed 
worker is worth the 
listed points at the 
end of the game.""",,
https://boardgamegeek.com/thread/2028616/after-another-player-passes-can-we-still-use-his-b,"After another player passes, can we still use his buildings?",Yes. There are no restrictions in the manual on VP awards only cards and resources. In addition they still warn their vp coin.,"""When you cannot perform any more
actions (or do not wish to), you have
finished the game and must pass. If
a player has passed, they cannot be
given any cards or resources. If cards 
or resources have to be given to a 
player and all other players have 
passed, discard instead.""",,
https://boardgamegeek.com/thread/2469563/drawing-cards-at-full-hand,"When you go to a location that has you draw from meadow or from deck, and you have 8, do you draw and discard, or just not draw at all?","No drawing when you have 8 cards in hand. Hand size is a hard limit in this game. You can never draw over your limit. If you are at eight cards and need to draw, you don't draw any. If you are at seven and need to draw two cards, you would draw one card, hit your hand limit, and not be able to draw your second card.","""There is a strict hand limit of eight 
cards. You cannot ever have more than 
eight cards in your hand. If you get to 
draw cards, you can only draw up to eight, 
no more. If you are required to give cards 
to an opponent and all opponents’ hands 
are full, discard the cards instead.""",,
https://boardgamegeek.com/thread/2472305/finished-players-and-victory-points,"The rules say that if you're finished you can no longer receive cards or resources. I assume this doesn't apply if someone lands on an open action space in your city? That is, you still receive the victory point?","You can still receive Point Tokens for the Inn, for instance. But you do not get resources (So you could not build up pebbles for End Game Points for Architect, for instance)Instead of giving cards to the player who passed, the cards get discarded instead.","""Inn: When you place a worker here, play 
a Critter or Construction from the Meadow 
cards for 3 less resources of your choice. You 
do not gain the 3 resources. You gain 1 point 
token if an opponent visits your Inn. Solo 
Game: you may visit the Inn in Rugwort’s 
City and Rugwort gains 1 point token.""","""If a player has passed, they cannot be
given any cards or resources. If cards 
or resources have to be given to a 
player and all other players have 
passed, discard instead.""",
https://boardgamegeek.com/thread/1984471/dungeon-questions,What about if the dungeon said to place them face down?  Then it would be obvious they are no longer part of the city.,We actually did make that change for the official printing. Thanks!,,,
