url,question,answer,manual quote
https://boardgamegeek.com/thread/2873881/i-have-some-questions-after-first-session,"If your character has two equipped items, and you wish to use both during a challenge, would you play a command token on each equipped card?","Depends on what you mean. Some ability cards have the ability to discard themselves (when equipped). This will explicitly state so on the card itself. Also: you never put command on ability cards (that command just goes back to the supply). Weapon (not sure whether you meant this instead by 'item') cannot be discarded or re-equipped, and cannot have command on them.",
https://boardgamegeek.com/thread/2574093/ship-action-clarification,Before the ship action I have one command left in the pool. I place the worker on the bridge to draw 2 command and place all used command back in the pool. Is this action draw 2 then return all or is it a simultaneous action?,"On page 10 of the rulebook it states ""Ship action effects can be applied in any order"". So you would be able to return all the used command to the pool then take 2.","""Ship action effects can be applied in any order""."
https://boardgamegeek.com/thread/3085176/is-everyone-playing-this-way-with-the-challenges-f,Which crew board abilities can help in challenges?,Only +1 to Fate (Mac) and redraw Fate if 1 (Kasumi).,
https://boardgamegeek.com/thread/2794707/2-heart-damage-spaces,so if a monster only has a 2 or 3 heart space left and you only hit for 1 damage does that mean you didn't hit at all?,"Correct, though to be completely accurate, you did hit the enemy, but the areas left are too tough to do damage to with such a weak blow. Just in case something like an ability/weapon triggers off of a ""hit"", specifically. I'm not aware of any (since most abilities you can use to deal extra damage even if you ""miss"") but I haven't seen half the game yet after a few playthroughs.",
https://boardgamegeek.com/thread/2953006/macs-sword-master-upgrade,Does Mac's Sword Master upgrade mean she gets 1 defense after using the saber or she draws 1 fate that determines her defense?,"Yes, I'm pretty sure that's it.",
https://boardgamegeek.com/thread/2259565/when-exploring-do-you-read-tests-before-making-a-c,"When Exploring, do you read tests before making a choice?","It seems to me that knowing what challenge is associated with each choice is a strategic necessity for playing the game, but in one of the play-through videos, the host asserted that it was to be handled more like Above and Below. I don't think that's right, but I wanted to see what others thought?",
https://boardgamegeek.com/thread/2535700/weakened-status,How do you remove status effects? Do you have to find it in the game or is it a rule I've missed?,"The rulebook mentions statuses can be removed by character abilities and adventure cards. For example, pg. 34 says, ""Remove Status: This can be used to remove status from any crew member"" when referring to general crew abilities. The particular ability and adventure card will specify what it removes.","""Remove Status: This can be used to remove status from any crew member"""
https://boardgamegeek.com/thread/2619010/defense-symbol-on-adventure-cards-question,what does a defense symbol on an adventure card mean? Can I spend that card's command cost when one of my crewmates is being hit to negate that much damage?,"Yes. Actually, when anybody's crewmate is being hit I believe. With added benefit of being able to use this block for end of round attacks as well. Normal block found on weapons cannot be used this way.",
https://boardgamegeek.com/thread/2608111/can-you-revisit-a-combat-location-to-refight-for-r,Can you revisit a combat location to refight for repeat rewards?,"Should be fine assuming there wasn’t a Keyword that got removed when you ended that particular encounter. Keep in mind that there are finite turns in the game, so turns themselves are quite valuable and should be used smartly/efficiently. Generally yes.Unless you are excluded from an entry by a keyword, locations are repeatable.  They usually have lesser rewards than the first time they were used.  There's always a cost in turns/Event Deck pulls, and of course the inherent cost of a combat in HP and resources to recover. I know several locations that you can have combat many times, but only receive the big reward once. All the others I have encountered the reward for repeating wins is miniscule compared to opportunity and recovery costs.",
https://boardgamegeek.com/thread/2379921/rulebook,Should specify if we can add cards after the result of the draw or not (ex. if I draw a 3 fate card may I still discard a Ability card to make it 4?),"Yes, you can. It's mentioned on p.13 ""Next, draw fate. If you used a crew member, add 1 for each craft symbol they have. You may also discard ability cards with craft symbols from your hand to add 1 per card to the total."" The ""add 1 per card to the total"" is clear to me. And it is even more clearly described in the Challenges section on p.19","""Next, draw fate. If you used a crew member, add 1 for each craft symbol they have. You may also discard ability cards with craft symbols from your hand to add 1 per card to the total."""
