url	question	answer	manual quote
https://boardgamegeek.com/thread/3271748/i-have-2-questions-about-combat-one-is-about-allow	Can you do partial damage to an enemy heart symbol of more than value 1, or is all or nothing?	It's all or nothing.	
https://boardgamegeek.com/thread/3271748/i-have-2-questions-about-combat-one-is-about-allow	Square is ok because one damage is placed next to previous and not diagonally, but now I wonder if 4 damage could be placed as a T shape? After all every damage is next to another but definitely not from previous...	A T is allowed. Its even used as a specific example in the rules.	
https://boardgamegeek.com/thread/3269600/travel-to-new-page-with-movement-left	When travelling to new page, does movement stop automatically on the new page or can I continue to move if I have more movement left?	You can continue moving.	
https://boardgamegeek.com/thread/3266861/audries-power-block	"But why does it say that ""Audrie's 2nd crew board ability gives +1 block""?"	Some of the crew abilities can be used in combat. Audrie's second now gets an additional +1 block so you can use it in combat.	
https://boardgamegeek.com/thread/3250276/when-doing-a-challenge-can-i-not-use-a-crew-member	Do you give all the damage to one designated crew member and move on to the next crew member, or do you split the damage up little by little?	Damage must be applied to any crew members that participated first. Since no crew participated, damage goes to whoever you want.	
https://boardgamegeek.com/thread/3248892/when-i-do-an-ability-test-can-i-look-at-the-cards	When I do an ability test, can I look at the cards already used in advance, calculate the success probability more, and then draw the ability cards?	Yes, equipped and discarded ability cards are public so you can calculate the odds.	
https://boardgamegeek.com/thread/3248851/you-spent-one-of-two-action-actions-to-explore-the	You spent one of two action actions to explore the port and progress through the story related to it. And do I have to spend one more action to take a port-related action (such as resting) at that port?	Taking an Explore action and taking a Port action are both separate actions so doing both would be all you could do on a turn. If you already spent two actions, then you'll have to wait until next turn to take a Port action.	
https://boardgamegeek.com/thread/3248842/do-crew-members-who-attack-using-combat-markers-in	Do crew members who attack using combat markers in battle get fatigue tokens?	No.	
https://boardgamegeek.com/thread/3244949/is-use-of-totem-cards-an-action-spoiler	Is use of Totem cards an action?	It is not an action. But it could only be taken inside a travel action.	
https://boardgamegeek.com/thread/3230374/combat-with-no-healthy-characters	Halfway through a combat one player had both of their characters go to zero health. What happens when we start a new combat round? Do their combat tokens just get wasted?	In that case the combat token is wasted unfortunately.	
https://boardgamegeek.com/thread/3223758/some-questions-about-the-game-rules	Command tokens can be spent to use an equipped ability card. But that only makes sense if the team member has at least one life point left, right?	If a crew member has damage equal to their health (known as having 0 health), they can no longer attack, participate in challenges, or activate any of their crew board abilities or ability cards until they regain at least 1 health.	
 	Combat round end ability on level card: 1 defense. Does this apply to the team or only to this team member? And only if this team member has been damaged?	This card is specifically about the damage that enemies do at the end of a full combat round (so after all 4 combat token have been used, see step #2 in the Combat rulepop). If you assign some (or all) of this damage to the crewmember with that specific ability card, then that crewmember receives 1 less damage.	
https://boardgamegeek.com/thread/3222657/ship-action-can-i-gain-command-points-cp-then-imme	Ship Action: Can I gain command points (CP) then immediately spend them before removing them? i.e. Quarters > Gain 3 CP (solo play) > immediately spend CP on adventure cards > Remove CP from the cards	"The rulebook says ""Ship action effects can be applied in any order."" and ""You may spend command at any time, even on other players’ turns (with some exceptions, as explained below)."".The exceptions don't mention the ship action; so yes, you can."	"Ship action effects can be applied in any order. and ""You may spend command at any time, even on other players’ turns (with some exceptions, as explained below)."".The exceptions don't mention the ship action."
https://boardgamegeek.com/thread/3221166/level-cards-artifacts-and-more	Can a crew member equip multiple Level Cards?	Yes, the level cards (brown bottom) can be multiple and stay with the crew member even after the Event Deck reset when you have to discard the equipped Ability Cards (blue bottom) back into the Fate Deck.	
https://boardgamegeek.com/thread/3221166/level-cards-artifacts-and-more	Can I use Artifacts as coins?	Yes, artefacts can be used as coins.	
https://boardgamegeek.com/thread/3210769/adventure-card-command-tokens	  Is the player able to keep activating the same adventure card if there is already command token on it, by placing more command tokens each time?	Once a card has command on it, the command token(s) must be removed before it can be used again.	
https://boardgamegeek.com/thread/3208566/few-more-questions	If an ability card requires an activation token to use (say to give +1 damage), I'm assuming it can be activated as many times as you have command tokens, as each token to activate ability card goes back to supply right?	Yes.	
https://boardgamegeek.com/thread/3208566/few-more-questions	Can a person without a ranged weapon that does a damage of 1, still destroy the wings of a flying enemy? Or does it just void the entire attack?	Yes. The “Flying” enemy ability just makes it more difficult to hit if you don’t have a ranged weapon. https://rulepop.com/sleeping-gods/#enemies	
https://boardgamegeek.com/thread/3208566/few-more-questions	For the level up cards that trigger when certain things happen (use the bridge, explore, etc), do they trigger when any player does this, or only the player who controls the crewmember? For example if player 1 controls Laurent and Laurent has the level card that grants a command when using the bridge, what if player 2 visits the bridge?	Rules for Ability Cards generally apply to Level Cards also. Essentially a level card is a special type of ability card. So, “Abilities on ability cards generally only apply to the crew member to which they are equipped unless otherwise specified on the card.” https://rulepop.com/sleeping-gods/#ability-cards	
https://boardgamegeek.com/thread/3206341/where-does-the-captain-go	Where does the captain go?	"The active player is always the captain.There is a ""Captain"" marker that the active player can have each turn to help everyone remember who is the actual captain for the turn."	
https://boardgamegeek.com/thread/3201053/losing-during-a-battle	If, during a battle, I manage to slay some of the enemies but then I lose, if I will go back to that battle in the future, does it mean that the enemies I have killed don’t take part in the battle anymore, or are they revived and I have to kill them one more time?	You set up the battle from scratch and fight all enemies again.	
https://boardgamegeek.com/thread/3198679/some-simple-questions-after-first-session	When we lose a challenge, who gets the damage?	Damage and Status effects are applied to those crew members who took part in the challenge before non-participating members.	
https://boardgamegeek.com/thread/3198679/some-simple-questions-after-first-session	The manual tells me, that first the participating team members get damage. So, when do non-participants get damage?	If all participating crewmembers are knocked out, then any remaining damage must be allocated to non-participating crew.	
https://boardgamegeek.com/thread/3198603/failure-of-combat	So what happens if we fail combat and everyone dies?	Everything auto-failed. And yes, you can go back and explore again.	
https://boardgamegeek.com/thread/3197600/few-questions	when using command, if my partner has a character who’s attacking, can I spend command on my characters boards to help benefit him? Like I can spend say two command to give their character +1 accuracy or extra damage? And same thing using adventure cards (if I have more command than them I can say pay a command to do a card that will benefit them)?	you need command to add on or more of your character to a challenge but not for fighting anyone can use adventure card or crew ability AFTER drawing the fate (challenge or combat)	
https://boardgamegeek.com/thread/3197600/few-questions	when discarding an equipped ability for +1 in combat, there was an ability strength card that had as text when discard for combat add 1 damage. Would this be in addition to the modifier on player board? So Raphael discards strength ability for +1 normally. In this situation would it have given 2 (1 for discard and 1 from card text)?	yes 1+1	
https://boardgamegeek.com/thread/3197600/few-questions	what if in 5) card was different, giving some passive effect. Would that effect still work for this one attack when discarding this card?	yes 1+1	
https://boardgamegeek.com/thread/3197600/few-questions	"The german rules after finishing the event deck say: ""after drawing the last card of the event deck, the active player ends his turn."" That would mean he skips the action phase completely. Is this true or is it an errata?"	This is correct. The special end-of-act event replaces the Event phase of the next player's turn (so no event card is drawn, you read the indicated passage in the book instead).	
https://boardgamegeek.com/thread/3183513/event-deck-and-discard-pile-reset	What happens to the event discard pile at the end of the first age?	When you create a new event deck, the original discarded one is removed from the game and the cards are not used again.	
https://boardgamegeek.com/thread/3164921/final-scoring-which-cards	Can you do the challenge without choosing any crew member to participate in it?	You can do the challenge even without choosing any crew member to participe in it ; so you would have had to try the challenge again and automatically lose it, which would have make you lose more health. When you fail a challenge and lose health but no crew member was participating, you chose how you want to dispatch the damages between your crew members, so the two remaining would have also died at some point	
https://boardgamegeek.com/thread/3164921/final-scoring-which-cards	What happens if no crew member participates in the challenge?	If no crew member participates in the challenge, you only look at the fate number on the card but don't apply any bonus you would have gained from a crew member	
https://boardgamegeek.com/thread/3160548/challenge-phase-can-a-non-active-player-who-doesn	Challenge phase -  can a non active player (who doesn’t acquire a fatigue token) play use his/her equipped card ability?	No, only active characters. It's not stated directly, but is implied in the challenge example: > Determine the sum of the specified skills on participating crew members (which is usually 1 per crew member plus any relevant equipped ability cards they have) and move to the next step.	
https://boardgamegeek.com/thread/3157128/how-to-deal-with-results-of-a-challenge-if-no-char	How to deal with results of a challenge if no character assigned	If no crew are assigned to a challenge or travel, you can spread any damage and effects among the crew any way you wish.	
https://boardgamegeek.com/thread/3143866/card-stone-of-blood	According to the rules of the game, a command token may be spent at any time. This should also apply to the time of the combat, right?	You are correct. Adventure cards can be triggered outside of a character strike/attack.	
