url	question	answer	manual quote
https://boardgamegeek.com/thread/3271748/i-have-2-questions-about-combat-one-is-about-allow	Can you place 4 damage in a square shaped pattern? Or would one of these placements be diagonally and not allowed?	4 damage in a square is ok. Place the first one top left, then top right, then bottom right, then bottom left.	
	Can you do partial damage to an enemy heart symbol of more than value 1, or is all or nothing?	It's all or nothing.	
	Square is ok because one damage is placed next to previous and not diagonally, but now I wonder if 4 damage could be placed as a T shape? After all every damage is next to another but definitely not from previous...	A T is allowed. Its even used as a specific example in the rules.	
https://boardgamegeek.com/thread/3269600/travel-to-new-page-with-movement-left	When travelling to new page, does movement stop automatically on the new page or can I continue to move if I have more movement left?	You can continue moving.	
https://boardgamegeek.com/thread/3266861/audries-power-block	But why does it say that "Audrie's 2nd crew board ability gives +1 block"?	Some of the crew abilities can be used in combat. Audrie's second now gets an additional +1 block so you can use it in combat.	
https://boardgamegeek.com/thread/3260955/when-does-the-fight-start	When does the fight start?	You can do it up until you look at the enemy card. Once you look at the enemy card, you may no longer eat food.  So when you see the word "fight", it doesn't matter.  Did you look at the enemy card?  If "yes", then combat has began and you may not eat. If "no" then you still may eat, even if you know that you are about to begin a fight.	
https://boardgamegeek.com/thread/3254605/discard-activity-cards	Can you discard cards during any challenge to increase your success?	Yes, any player may discard any number of ability cards from their hands to add the associated skill to the challenge. 	
https://boardgamegeek.com/thread/3253107/zombie-merchant-event	So assuming I have $5, I can purchase all 15 food tokens? This seems absurdly powerful, no matter the 50% chance of gaining weakened. Am I misreading this card?	Your interpretation sounds right to me, especially given the opening qualifier "you may purchase any number...." I also agree that it does seem absurdly overpowered. Hoping I do come across it now!	
https://boardgamegeek.com/thread/3250276/when-doing-a-challenge-can-i-not-use-a-crew-member	When doing a challenge, can I not use a crew member?	You can choose to have no crew members participate and simply move on to the draw fate step.	
	 Can anyone share the damage incurred in case of failure?	−X health: You must take crew damage. Damage must be applied to any crew members that participated first.	
	And when I do a challenge using a crew member, if I fail, do I have to take all the damage to that crew member?	Since no crew participated, damage goes to whoever you want.	
	Do you give all the damage to one designated crew member and move on to the next crew member, or do you split the damage up little by little?	Damage must be applied to any crew members that participated first. Since no crew participated, damage goes to whoever you want.	
https://boardgamegeek.com/thread/3248892/when-i-do-an-ability-test-can-i-look-at-the-cards	When I do an ability test, can I look at the cards already used in advance, calculate the success probability more, and then draw the ability cards?	Yes, equipped and discarded ability cards are public so you can calculate the odds.	
https://boardgamegeek.com/thread/3248889/when-my-crew-completes-4-attacks-and-the-enemy-att	When my crew completes 4 attacks and the enemy attacks, can I distribute the damage and status ailments to any crew member? Or will I get to split it among the crew members who participated in the battle this round?	It's not a counterattack, so my understanding is that it can be against any of the 9 members, regardless of whether they acted or not. But the attack is against one character, not to be divided unless they are knocked out and there is still damage left to allocate.	
https://boardgamegeek.com/thread/3248851/you-spent-one-of-two-action-actions-to-explore-the	You spent one of two action actions to explore the port and progress through the story related to it. And do I have to spend one more action to take a port-related action (such as resting) at that port?	Taking an Explore action and taking a Port action are both separate actions so doing both would be all you could do on a turn. If you already spent two actions, then you'll have to wait until next turn to take a Port action.	
https://boardgamegeek.com/thread/3248842/do-crew-members-who-attack-using-combat-markers-in	Do crew members who attack using combat markers in battle get fatigue tokens?	No.	
https://boardgamegeek.com/thread/3248832/if-the-enemy-counterattacks-after-failing-to-attac	If the enemy counterattacks after failing to attack, you can deal 1 damage to the enemy again. Even if the attack is successful, will the enemy counterattack and then deal 1 damage to the enemy again?	If the attack is successful, then you don't deal an additional damage. The additional damage is only if you miss on your attack.	
https://boardgamegeek.com/thread/3248829/keywords-are-needed-when-searching-is-it-okay-to-r	Keywords are needed when searching. Is it okay to record the keywords needed for that area in the navigation log?	I'd say definitely. Record everything - you won't regret it, particularly in future campaigns	
https://boardgamegeek.com/thread/3248418/if-i-equip-a-weapon-to-my-crew-can-i-equip-other-c	If I equip a weapon to my crew, can I equip other crew members with that weapon whenever I want?	according to rulebook p.29 - not in combat"You can equip this to a crew member (or give it to a different crew member) at any time outside of combat. Slide it underneath their crew board so that only the weapon info is showing"I think that same rule also apply to totem weapons. believe you can switch which character is using a weapon at any time outside of combat. Once combat begins, you cannot make any changes.	"You can equip this to a crew member (or give it to a different crew member) at any time outside of combat. Slide it underneath their crew board so that only theweapon info is showing."
https://boardgamegeek.com/thread/3244949/is-use-of-totem-cards-an-action-spoiler	Is use of Totem cards an action?	It is not an action. But it could only be taken inside a travel action.	
https://boardgamegeek.com/thread/3230374/combat-with-no-healthy-characters	Halfway through a combat one player had both of their characters go to zero health. What happens when we start a new combat round? Do their combat tokens just get wasted?	In that case the combat token is wasted unfortunately.	
